id,url,domain,network,extend,regex1,regex2,regex3,regex4,regex5,virustotal,isaffi
137,https://www.netone.co.jp/,0,0,0,0,1,0,1,1,0,0
138,https://cybozu.co.jp/,0,0,0,0,0,0,1,1,0,0
139,https://www.otsuka-shokai.co.jp/,0,0,0,0,0,0,0,0,0,0
140,https://www.ctc-g.co.jp/,0,0,0,0,0,0,0,1,0,0
141,https://www.oracle.com/jp/,0,0,0,0,1,0,0,1,0,0
142,https://www.sakura.ad.jp/,0,0,0,0,0,0,0,1,0,0
143,https://www.mri.co.jp/,0,0,0,0,0,0,0,1,0,0
144,https://www.hitachi.co.jp/,0,0,0,0,0,0,0,1,0,0
145,https://www.mitsubishielectric.co.jp/,0,0,0,0,0,0,0,1,0,0
146,https://www.fujielectric.co.jp/,0,0,0,0,0,0,0,1,0,0
147,https://shop.ukiukiwine.com/,0,0,0,0,0,0,0,1,0,0
148,https://www.nesic.co.jp/,0,0,0,0,0,0,0,1,0,0
149,https://www.systena.co.jp/,0,0,1,0,0,0,0,0,0,0
150,https://www.daj.jp/,0,0,1,0,0,0,0,1,0,0
151,https://www.cubesystem.co.jp/,0,0,0,1,0,0,1,1,0,0
152,https://www.core.co.jp/,0,0,0,0,0,0,0,1,1,0
153,https://www.softcreate.co.jp/,0,0,1,0,0,0,1,1,0,0
154,https://www.densan-s.co.jp/,0,0,0,0,0,0,0,0,0,0
155,https://gree.jp/,0,0,0,0,0,0,0,0,0,0
156,https://www.koeitecmo.co.jp/,0,0,0,0,0,0,0,1,0,0
157,https://www.voltage.co.jp/,0,0,0,0,0,0,0,1,0,0
158,https://www.ndensan.co.jp/,0,0,0,0,0,0,0,0,0,0
159,https://www.ags.co.jp/,0,0,0,0,0,0,0,1,0,0
160,https://www.mjs.co.jp/,0,0,0,0,0,0,0,1,0,0
161,https://corp.ebookjapan.jp/,0,0,0,0,0,0,0,1,0,0
162,https://company.nexon.co.jp/,0,0,1,0,0,0,0,1,0,0
163,https://www.istyle.co.jp/,0,0,1,0,0,0,1,1,0,0
164,https://www.colopl.co.jp/,0,0,0,0,0,0,0,1,0,0
165,https://www.mcinc.jp/,0,0,0,0,0,0,0,1,0,0
166,https://www.broadleaf.co.jp/,0,0,0,0,0,0,0,1,0,0
167,https://www.optim.co.jp/,0,0,0,0,0,0,1,1,0,0
168,https://www.veriserve.co.jp/,0,0,0,0,0,0,0,1,0,0
169,https://www.t-gaia.co.jp/,0,0,0,0,0,0,0,1,0,0
170,https://www.japanasiagroup.jp/,0,0,0,0,0,0,0,1,0,0
171,https://www.techmatrix.co.jp/,0,0,0,0,0,0,0,1,0,0
172,https://www.gungho.co.jp/,0,0,0,0,0,0,0,1,0,0
173,https://www.iij.ad.jp/,0,0,0,0,0,0,0,1,0,0
174,https://asahi-net.jp/,0,0,0,0,0,0,0,1,0,0
175,https://www.sra-hd.co.jp/,0,0,0,0,0,0,0,1,0,0
176,https://www.faith.co.jp/,0,0,0,0,0,0,0,1,0,0
177,https://www.himacs.jp/,0,0,0,0,0,0,0,1,0,0
178,https://www.cybernet.co.jp/,0,0,0,0,0,0,0,1,0,0
179,https://www.intage.co.jp/,0,0,0,0,0,0,0,1,0,0
